Date,Country/Region,Confirmed,Deaths,Recovered,Active,No_Of_New_Cases,No_Of_New_Deaths,No_Of_New_Recovered,Latitude,Longtitude
2020-04-03,Afghanistan,281,6,10,265,8,0,0,33.93911,67.709953
2020-04-04,Afghanistan,299,7,10,282,18,1,0,33.93911,67.709953
2020-04-05,Afghanistan,349,7,15,327,50,0,5,33.93911,67.709953
2020-04-06,Afghanistan,367,11,18,338,18,4,3,33.93911,67.709953
2020-04-07,Afghanistan,423,14,18,391,56,3,0,33.93911,67.709953
2020-04-08,Afghanistan,444,14,29,401,21,0,11,33.93911,67.709953
2020-04-09,Afghanistan,484,15,32,437,40,1,3,33.93911,67.709953
2020-04-10,Afghanistan,521,15,32,474,37,0,0,33.93911,67.709953
2020-04-11,Afghanistan,555,18,32,505,34,3,0,33.93911,67.709953
2020-04-12,Afghanistan,607,18,32,557,52,0,0,33.93911,67.709953
2020-04-13,Afghanistan,665,21,32,612,58,3,0,33.93911,67.709953
2020-04-14,Afghanistan,714,23,40,651,49,2,8,33.93911,67.709953
2020-04-15,Afghanistan,784,25,43,716,70,2,3,33.93911,67.709953
2020-04-16,Afghanistan,840,30,54,756,56,5,11,33.93911,67.709953
2020-04-17,Afghanistan,906,30,99,777,66,0,45,33.93911,67.709953
2020-04-18,Afghanistan,933,30,112,791,27,0,13,33.93911,67.709953
2020-04-19,Afghanistan,996,33,131,832,63,3,19,33.93911,67.709953
2020-04-20,Afghanistan,1026,36,135,855,30,3,4,33.93911,67.709953
2020-04-21,Afghanistan,1092,36,150,906,66,0,15,33.93911,67.709953
2020-04-22,Afghanistan,1176,40,166,970,84,4,16,33.93911,67.709953
2020-04-23,Afghanistan,1279,42,179,1058,103,2,13,33.93911,67.709953
2020-04-24,Afghanistan,1351,43,188,1120,72,1,9,33.93911,67.709953
2020-04-25,Afghanistan,1463,47,188,1228,112,4,0,33.93911,67.709953
2020-04-26,Afghanistan,1531,50,207,1274,68,3,19,33.93911,67.709953
2020-04-27,Afghanistan,1703,57,220,1426,172,7,13,33.93911,67.709953
2020-04-28,Afghanistan,1828,58,228,1542,125,1,8,33.93911,67.709953
2020-04-29,Afghanistan,1939,60,252,1627,111,2,24,33.93911,67.709953
2020-04-30,Afghanistan,2171,64,260,1847,232,4,8,33.93911,67.709953
2020-05-01,Afghanistan,2335,68,310,1957,164,4,50,33.93911,67.709953
2020-05-02,Afghanistan,2469,72,331,2066,134,4,21,33.93911,67.709953
2020-05-03,Afghanistan,2704,85,345,2274,235,13,14,33.93911,67.709953
2020-05-04,Afghanistan,2894,90,397,2407,190,5,52,33.93911,67.709953
2020-05-05,Afghanistan,3224,95,421,2708,330,5,24,33.93911,67.709953
2020-05-06,Afghanistan,3392,104,458,2830,168,9,37,33.93911,67.709953
2020-05-07,Afghanistan,3563,106,468,2989,171,2,10,33.93911,67.709953
2020-05-08,Afghanistan,3778,109,472,3197,215,3,4,33.93911,67.709953
2020-05-09,Afghanistan,4033,115,502,3416,255,6,30,33.93911,67.709953
2020-05-10,Afghanistan,4402,120,558,3724,369,5,56,33.93911,67.709953
2020-05-11,Afghanistan,4687,122,558,4007,285,2,0,33.93911,67.709953
2020-05-12,Afghanistan,4963,127,610,4226,276,5,52,33.93911,67.709953
2020-05-13,Afghanistan,5226,132,648,4446,263,5,38,33.93911,67.709953
2020-01-22,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-01-23,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-01-24,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-01-25,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-01-26,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-01-27,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-01-28,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-01-29,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-01-30,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-01-31,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-01,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-02,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-03,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-04,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-05,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-06,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-07,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-08,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-09,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-10,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-11,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-12,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-13,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-14,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-15,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-16,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-17,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-18,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-19,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-20,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-21,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-22,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-23,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-24,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-25,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-26,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-27,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-28,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-02-29,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-03-01,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-03-02,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-03-03,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-03-04,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-03-05,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-03-06,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-03-07,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-03-08,Albania,0,0,0,0,0,0,0,41.153332,20.168331
2020-03-09,Albania,2,0,0,2,2,0,0,41.153332,20.168331
2020-03-10,Albania,10,0,0,10,8,0,0,41.153332,20.168331
2020-03-11,Albania,12,1,0,11,2,1,0,41.153332,20.168331
2020-03-12,Albania,23,1,0,22,11,0,0,41.153332,20.168331
2020-03-13,Albania,33,1,0,32,10,0,0,41.153332,20.168331
2020-03-14,Albania,38,1,0,37,5,0,0,41.153332,20.168331
2020-03-15,Albania,42,1,0,41,4,0,0,41.153332,20.168331
2020-03-16,Albania,51,1,0,50,9,0,0,41.153332,20.168331
2020-03-17,Albania,55,1,0,54,4,0,0,41.153332,20.168331
2020-03-18,Albania,59,2,0,57,4,1,0,41.153332,20.168331
2020-03-19,Albania,64,2,0,62,5,0,0,41.153332,20.168331
2020-03-20,Albania,70,2,0,68,6,0,0,41.153332,20.168331
2020-03-21,Albania,76,2,2,72,6,0,2,41.153332,20.168331
2020-03-22,Albania,89,2,2,85,13,0,0,41.153332,20.168331
2020-03-23,Albania,104,4,2,98,15,2,0,41.153332,20.168331
2020-03-24,Albania,123,5,10,108,19,1,8,41.153332,20.168331
2020-03-25,Albania,146,5,17,124,23,0,7,41.153332,20.168331
2020-03-26,Albania,174,6,17,151,28,1,0,41.153332,20.168331
2020-03-27,Albania,186,8,31,147,12,2,14,41.153332,20.168331
2020-03-28,Albania,197,10,31,156,11,2,0,41.153332,20.168331
2020-03-29,Albania,212,10,33,169,15,0,2,41.153332,20.168331
2020-03-30,Albania,223,11,44,168,11,1,11,41.153332,20.168331
2020-03-31,Albania,243,15,52,176,20,4,8,41.153332,20.168331
2020-04-01,Albania,259,15,67,177,16,0,15,41.153332,20.168331
2020-04-02,Albania,277,16,76,185,18,1,9,41.153332,20.168331
2020-04-03,Albania,304,17,89,198,27,1,13,41.153332,20.168331
2020-04-04,Albania,333,20,99,214,29,3,10,41.153332,20.168331
2020-04-05,Albania,361,20,104,237,28,0,5,41.153332,20.168331
2020-04-06,Albania,377,21,116,240,16,1,12,41.153332,20.168331
2020-04-07,Albania,383,22,131,230,6,1,15,41.153332,20.168331
2020-04-08,Albania,400,22,154,224,17,0,23,41.153332,20.168331
2020-04-09,Albania,409,23,165,221,9,1,11,41.153332,20.168331
2020-04-10,Albania,416,23,182,211,7,0,17,41.153332,20.168331
2020-04-11,Albania,433,23,197,213,17,0,15,41.153332,20.168331
2020-04-12,Albania,446,23,217,206,13,0,20,41.153332,20.168331
2020-04-13,Albania,467,23,232,212,21,0,15,41.153332,20.168331
2020-04-14,Albania,475,24,248,203,8,1,16,41.153332,20.168331
2020-04-15,Albania,494,25,251,218,19,1,3,41.153332,20.168331
2020-04-16,Albania,518,26,277,215,24,1,26,41.153332,20.168331
2020-04-17,Albania,539,26,283,230,21,0,6,41.153332,20.168331
2020-04-18,Albania,548,26,302,220,9,0,19,41.153332,20.168331
2020-04-19,Albania,562,26,314,222,14,0,12,41.153332,20.168331
2020-04-20,Albania,584,26,327,231,22,0,13,41.153332,20.168331
2020-04-21,Albania,609,26,345,238,25,0,18,41.153332,20.168331
2020-04-22,Albania,634,27,356,251,25,1,11,41.153332,20.168331
2020-04-23,Albania,663,27,385,251,29,0,29,41.153332,20.168331
2020-04-24,Albania,678,27,394,257,15,0,9,41.153332,20.168331
2020-04-25,Albania,712,27,403,282,34,0,9,41.153332,20.168331
2020-04-26,Albania,726,28,410,288,14,1,7,41.153332,20.168331
2020-04-27,Albania,736,28,422,286,10,0,12,41.153332,20.168331
2020-04-28,Albania,750,30,431,289,14,2,9,41.153332,20.168331
2020-04-29,Albania,766,30,455,281,16,0,24,41.153332,20.168331
2020-04-30,Albania,773,31,470,272,7,1,15,41.153332,20.168331
2020-05-01,Albania,782,31,488,263,9,0,18,41.153332,20.168331
2020-05-02,Albania,789,31,519,239,7,0,31,41.153332,20.168331
2020-05-03,Albania,795,31,531,233,6,0,12,41.153332,20.168331
2020-05-04,Albania,803,31,543,229,8,0,12,41.153332,20.168331
2020-05-05,Albania,820,31,570,219,17,0,27,41.153332,20.168331
2020-05-06,Albania,832,31,595,206,12,0,25,41.153332,20.168331
2020-05-07,Albania,842,31,605,206,10,0,10,41.153332,20.168331
2020-05-08,Albania,850,31,620,199,8,0,15,41.153332,20.168331
2020-05-09,Albania,856,31,627,198,6,0,7,41.153332,20.168331
2020-05-10,Albania,868,31,650,187,12,0,23,41.153332,20.168331
2020-05-11,Albania,872,31,654,187,4,0,4,41.153332,20.168331
2020-05-12,Albania,876,31,682,163,4,0,28,41.153332,20.168331
2020-05-13,Albania,880,31,688,161,4,0,6,41.153332,20.168331
2020-01-22,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-01-23,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-01-24,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-01-25,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-01-26,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-01-27,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-01-28,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-01-29,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-01-30,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-01-31,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-01,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-02,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-03,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-04,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-05,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-06,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-07,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-08,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-09,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-10,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-11,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-12,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-13,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-14,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-15,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-16,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-17,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-18,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-19,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-20,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-21,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-22,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-23,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-24,Algeria,0,0,0,0,0,0,0,28.033886,1.6596259999999998
2020-02-25,Algeria,1,0,0,1,1,0,0,28.033886,1.6596259999999998
2020-02-26,Algeria,1,0,0,1,0,0,0,28.033886,1.6596259999999998
2020-02-27,Algeria,1,0,0,1,0,0,0,28.033886,1.6596259999999998
2020-02-28,Algeria,1,0,0,1,0,0,0,28.033886,1.6596259999999998
2020-02-29,Algeria,1,0,0,1,0,0,0,28.033886,1.6596259999999998
2020-03-01,Algeria,1,0,0,1,0,0,0,28.033886,1.6596259999999998
2020-03-02,Algeria,3,0,0,3,2,0,0,28.033886,1.6596259999999998
2020-03-03,Algeria,5,0,0,5,2,0,0,28.033886,1.6596259999999998
2020-03-04,Algeria,12,0,0,12,7,0,0,28.033886,1.6596259999999998
2020-03-05,Algeria,12,0,0,12,0,0,0,28.033886,1.6596259999999998
2020-03-06,Algeria,17,0,0,17,5,0,0,28.033886,1.6596259999999998
2020-03-07,Algeria,17,0,0,17,0,0,0,28.033886,1.6596259999999998
2020-03-08,Algeria,19,0,0,19,2,0,0,28.033886,1.6596259999999998
2020-03-09,Algeria,20,0,0,20,1,0,0,28.033886,1.6596259999999998
2020-03-10,Algeria,20,0,0,20,0,0,0,28.033886,1.6596259999999998
2020-03-11,Algeria,20,0,0,20,0,0,0,28.033886,1.6596259999999998
2020-03-12,Algeria,24,1,8,15,4,1,8,28.033886,1.6596259999999998
2020-03-13,Algeria,26,2,8,16,2,1,0,28.033886,1.6596259999999998
2020-03-14,Algeria,37,3,12,22,11,1,4,28.033886,1.6596259999999998
2020-03-15,Algeria,48,4,12,32,11,1,0,28.033886,1.6596259999999998
2020-03-16,Algeria,54,4,12,38,6,0,0,28.033886,1.6596259999999998
2020-03-17,Algeria,60,4,12,44,6,0,0,28.033886,1.6596259999999998
2020-03-18,Algeria,74,7,12,55,14,3,0,28.033886,1.6596259999999998
2020-03-19,Algeria,87,9,32,46,13,2,20,28.033886,1.6596259999999998
2020-03-20,Algeria,90,11,32,47,3,2,0,28.033886,1.6596259999999998
2020-03-21,Algeria,139,15,32,92,49,4,0,28.033886,1.6596259999999998
2020-03-22,Algeria,201,17,65,119,62,2,33,28.033886,1.6596259999999998
2020-03-23,Algeria,230,17,65,148,29,0,0,28.033886,1.6596259999999998
2020-03-24,Algeria,264,19,24,221,34,2,-41,28.033886,1.6596259999999998
2020-03-25,Algeria,302,21,65,216,38,2,41,28.033886,1.6596259999999998
2020-03-26,Algeria,367,25,29,313,65,4,-36,28.033886,1.6596259999999998
2020-03-27,Algeria,409,26,29,354,42,1,0,28.033886,1.6596259999999998
2020-03-28,Algeria,454,29,31,394,45,3,2,28.033886,1.6596259999999998
2020-03-29,Algeria,511,31,31,449,57,2,0,28.033886,1.6596259999999998
2020-03-30,Algeria,584,35,37,512,73,4,6,28.033886,1.6596259999999998
2020-03-31,Algeria,716,44,46,626,132,9,9,28.033886,1.6596259999999998
2020-04-01,Algeria,847,58,61,728,131,14,15,28.033886,1.6596259999999998
2020-04-02,Algeria,986,86,61,839,139,28,0,28.033886,1.6596259999999998
2020-04-03,Algeria,1171,105,62,1004,185,19,1,28.033886,1.6596259999999998
2020-04-04,Algeria,1251,130,90,1031,80,25,28,28.033886,1.6596259999999998
2020-04-05,Algeria,1320,152,90,1078,69,22,0,28.033886,1.6596259999999998
2020-04-06,Algeria,1423,173,90,1160,103,21,0,28.033886,1.6596259999999998
2020-04-07,Algeria,1468,193,113,1162,45,20,23,28.033886,1.6596259999999998
2020-04-08,Algeria,1572,205,237,1130,104,12,124,28.033886,1.6596259999999998
2020-04-09,Algeria,1666,235,347,1084,94,30,110,28.033886,1.6596259999999998
2020-04-10,Algeria,1761,256,405,1100,95,21,58,28.033886,1.6596259999999998
2020-04-11,Algeria,1825,275,460,1090,64,19,55,28.033886,1.6596259999999998
2020-04-12,Algeria,1914,293,591,1030,89,18,131,28.033886,1.6596259999999998
2020-04-13,Algeria,1983,313,601,1069,69,20,10,28.033886,1.6596259999999998
2020-04-14,Algeria,2070,326,691,1053,87,13,90,28.033886,1.6596259999999998
2020-04-15,Algeria,2160,336,708,1116,90,10,17,28.033886,1.6596259999999998
2020-04-16,Algeria,2268,348,783,1137,108,12,75,28.033886,1.6596259999999998
2020-04-17,Algeria,2418,364,846,1208,150,16,63,28.033886,1.6596259999999998
2020-04-18,Algeria,2534,367,894,1273,116,3,48,28.033886,1.6596259999999998
2020-04-19,Algeria,2629,375,1047,1207,95,8,153,28.033886,1.6596259999999998
2020-04-20,Algeria,2718,384,1099,1235,89,9,52,28.033886,1.6596259999999998
2020-04-21,Algeria,2811,392,1152,1267,93,8,53,28.033886,1.6596259999999998
2020-04-22,Algeria,2910,402,1204,1304,99,10,52,28.033886,1.6596259999999998
2020-04-23,Algeria,3007,407,1355,1245,97,5,151,28.033886,1.6596259999999998
2020-04-24,Algeria,3127,415,1408,1304,120,8,53,28.033886,1.6596259999999998
2020-04-25,Algeria,3256,419,1479,1358,129,4,71,28.033886,1.6596259999999998
2020-04-26,Algeria,3382,425,1508,1449,126,6,29,28.033886,1.6596259999999998
2020-04-27,Algeria,3517,432,1558,1527,135,7,50,28.033886,1.6596259999999998
2020-04-28,Algeria,3649,437,1651,1561,132,5,93,28.033886,1.6596259999999998
2020-04-29,Algeria,3848,444,1702,1702,199,7,51,28.033886,1.6596259999999998
2020-04-30,Algeria,4006,450,1779,1777,158,6,77,28.033886,1.6596259999999998
2020-05-01,Algeria,4154,453,1821,1880,148,3,42,28.033886,1.6596259999999998
2020-05-02,Algeria,4295,459,1872,1964,141,6,51,28.033886,1.6596259999999998
2020-05-03,Algeria,4474,463,1936,2075,179,4,64,28.033886,1.6596259999999998
2020-05-04,Algeria,4648,465,1998,2185,174,2,62,28.033886,1.6596259999999998
2020-05-05,Algeria,4838,470,2067,2301,190,5,69,28.033886,1.6596259999999998
2020-05-06,Algeria,4997,476,2197,2324,159,6,130,28.033886,1.6596259999999998
2020-05-07,Algeria,5182,483,2323,2376,185,7,126,28.033886,1.6596259999999998
2020-05-08,Algeria,5369,488,2467,2414,187,5,144,28.033886,1.6596259999999998
2020-05-09,Algeria,5558,494,2546,2518,189,6,79,28.033886,1.6596259999999998
2020-05-10,Algeria,5723,502,2678,2543,165,8,132,28.033886,1.6596259999999998
2020-05-11,Algeria,5891,507,2841,2543,168,5,163,28.033886,1.6596259999999998
2020-05-12,Algeria,6067,515,2998,2554,176,8,157,28.033886,1.6596259999999998
2020-05-13,Algeria,6253,522,3058,2673,186,7,60,28.033886,1.6596259999999998
2020-01-22,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-01-23,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-01-24,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-01-25,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-01-26,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-01-27,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-01-28,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-01-29,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-01-30,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-01-31,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-01,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-02,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-03,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-04,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-05,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-06,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-07,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-08,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-09,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-10,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-11,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-12,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
2020-02-13,Andorra,0,0,0,0,0,0,0,42.546245,1.6015540000000001
